r11eu27,year,totalpop
AFR,1954,190289423
AFR,1955,194411563
AFR,1956,198688639
AFR,1957,203061009
AFR,1958,207477712
AFR,1959,212163349
AFR,1960,217199949
AFR,1961,222471937
AFR,1962,227976242
AFR,1963,233691236
AFR,1964,239632072
AFR,1965,245800762
AFR,1966,252149032
AFR,1967,258701768
AFR,1968,265523871
AFR,1969,272589500
AFR,1970,279917580
AFR,1971,287457901
AFR,1972,295145576
AFR,1973,303178044
AFR,1974,311633202
AFR,1975,320387720
AFR,1976,329384260
AFR,1977,338503391
AFR,1978,348250337
AFR,1979,358605585
AFR,1980,368853487
AFR,1981,379516143
AFR,1982,390864331
AFR,1983,402121513
AFR,1984,413538603
AFR,1985,425614360
AFR,1986,438176924
AFR,1987,451300713
AFR,1988,464723340
AFR,1989,478379957
AFR,1990,492156770
AFR,1991,505837804
AFR,1992,519619519
AFR,1993,533698262
AFR,1994,547742749
AFR,1995,562259766
AFR,1996,577448569
AFR,1997,592621732
AFR,1998,608114512
AFR,1999,624080967
AFR,2000,640520237
AFR,2001,657582252
AFR,2002,675237741
AFR,2003,693440098
AFR,2004,712262264
AFR,2005,731665731
AFR,2006,751669707
AFR,2007,772371503
AFR,2008,793751229
AFR,2009,815740543
AFR,2010,838405369
AFR,2011,861716113
AFR,2012,885592764
AFR,2013,910153818
AFR,2014,935476916
AFR,2015,961553461
CPA,1850,423927719
CPA,1851,421912825
CPA,1852,419229308
CPA,1853,415884312
CPA,1854,412575787
CPA,1855,409303615
CPA,1856,406067696
CPA,1857,402867929
CPA,1858,399704228
CPA,1859,396854215
CPA,1860,394313985
CPA,1861,392079461
CPA,1862,390146735
CPA,1863,388512023
CPA,1864,386893785
CPA,1865,385292157
CPA,1866,383707282
CPA,1867,382139307
CPA,1868,380588385
CPA,1869,379574090
CPA,1870,379093793
CPA,1871,379147364
CPA,1872,379727118
CPA,1873,380832592
CPA,1874,381941324
CPA,1875,383053302
CPA,1876,384168506
CPA,1877,385287368
CPA,1878,386409904
CPA,1879,387569713
CPA,1880,388767021
CPA,1881,390002061
CPA,1882,391275061
CPA,1883,392586259
CPA,1884,393902301
CPA,1885,395223219
CPA,1886,396549198
CPA,1887,397880282
CPA,1888,399216511
CPA,1889,400704907
CPA,1890,402346775
CPA,1891,404143427
CPA,1892,406096180
CPA,1893,408206368
CPA,1894,410328293
CPA,1895,412462043
CPA,1896,414607705
CPA,1897,416765208
CPA,1898,418934636
CPA,1899,421259303
CPA,1900,423745953
CPA,1901,426401668
CPA,1902,429233886
CPA,1903,432250424
CPA,1904,435316341
CPA,1905,438433613
CPA,1906,441604318
CPA,1907,444830642
CPA,1908,448114875
CPA,1909,451705485
CPA,1910,455602657
CPA,1911,459802130
CPA,1912,464310504
CPA,1913,469124342
CPA,1914,473996003
CPA,1915,478926238
CPA,1916,483915026
CPA,1917,488962999
CPA,1918,494033890
CPA,1919,498454853
CPA,1920,502199370
CPA,1921,505269404
CPA,1922,507660409
CPA,1923,509378151
CPA,1924,511109902
CPA,1925,512835181
CPA,1926,514564796
CPA,1927,516302832
CPA,1928,518065484
CPA,1929,520129350
CPA,1930,522486673
CPA,1931,525152597
CPA,1932,528115034
CPA,1933,531381764
CPA,1934,534656111
CPA,1935,537951340
CPA,1936,541359456
CPA,1937,544847636
CPA,1938,548440926
CPA,1939,552014302
CPA,1940,555542910
CPA,1941,559049436
CPA,1942,562617457
CPA,1943,566313229
CPA,1944,570052901
CPA,1945,573837567
CPA,1946,577741448
CPA,1947,581715192
CPA,1948,585762315
CPA,1949,591383285
CPA,1950,589018646
CPA,1951,598878935
CPA,1952,610709979
CPA,1953,623949675
CPA,1954,637525528
CPA,1955,652103551
CPA,1956,666330938
CPA,1957,681465169
CPA,1958,696800895
CPA,1959,706745904
CPA,1960,710301616
CPA,1961,712877924
CPA,1962,723716031
CPA,1963,744592663
CPA,1964,766875653
CPA,1965,787704653
CPA,1966,808365341
CPA,1967,827989007
CPA,1968,848902212
CPA,1969,871504432
CPA,1970,894092961
CPA,1971,916377141
CPA,1972,937581541
CPA,1973,958038511
CPA,1974,977349604
CPA,1975,994495117
CPA,1976,1009993793
CPA,1977,1024634220
CPA,1978,1038836300
CPA,1979,1053665238
CPA,1980,1069487227
CPA,1981,1086327569
CPA,1982,1104639558
CPA,1983,1122513442
CPA,1984,1139603346
CPA,1985,1157825950
CPA,1986,1177577067
CPA,1987,1198921878
CPA,1988,1220208928
CPA,1989,1241014065
CPA,1990,1262641591
CPA,1991,1281920659
CPA,1992,1297565647
CPA,1993,1312094013
CPA,1994,1325807506
CPA,1995,1338710192
CPA,1996,1350776701
CPA,1997,1362092589
CPA,1998,1372855378
CPA,1999,1383070961
CPA,2000,1393199169
CPA,2001,1403201938
CPA,2002,1412718153
CPA,2003,1422010576
CPA,2004,1431315435
CPA,2005,1440726315
CPA,2006,1450240379
CPA,2007,1459995248
CPA,2008,1469997779
CPA,2009,1480337053
CPA,2010,1490810735
CPA,2011,1501137859
CPA,2012,1512071738
CPA,2013,1523112319
CPA,2014,1533708566
CPA,2015,1543734416
EU27,1850,172873297
EU27,1851,173765227
EU27,1852,174640138
EU27,1853,175497577
EU27,1854,176363578
EU27,1855,177238160
EU27,1856,178121346
EU27,1857,179013163
EU27,1858,179913635
EU27,1859,180846015
EU27,1860,181810255
EU27,1861,182800595
EU27,1862,183822633
EU27,1863,184876323
EU27,1864,185938412
EU27,1865,187008961
EU27,1866,188088042
EU27,1867,189175714
EU27,1868,190272045
EU27,1869,191395358
EU27,1870,192546135
EU27,1871,193729857
EU27,1872,194942112
EU27,1873,196183411
EU27,1874,197436001
EU27,1875,198699989
EU27,1876,199975492
EU27,1877,201262626
EU27,1878,202561504
EU27,1879,203870147
EU27,1880,205188627
EU27,1881,206514798
EU27,1882,207850933
EU27,1883,209197095
EU27,1884,210555486
EU27,1885,211926213
EU27,1886,213309384
EU27,1887,214705099
EU27,1888,216113482
EU27,1889,217571397
EU27,1890,219079866
EU27,1891,220648653
EU27,1892,222270176
EU27,1893,223945499
EU27,1894,225638866
EU27,1895,227350499
EU27,1896,229080605
EU27,1897,230829410
EU27,1898,232597129
EU27,1899,234424524
EU27,1900,236312465
EU27,1901,238267314
EU27,1902,240283039
EU27,1903,242361554
EU27,1904,244463252
EU27,1905,246588427
EU27,1906,248736374
EU27,1907,250910401
EU27,1908,253107815
EU27,1909,254900564
EU27,1910,256287143
EU27,1911,257255962
EU27,1912,257807364
EU27,1913,257949592
EU27,1914,258101348
EU27,1915,258205543
EU27,1916,258254094
EU27,1917,258283919
EU27,1918,258299309
EU27,1919,258700606
EU27,1920,259586549
EU27,1921,260789873
EU27,1922,262432310
EU27,1923,264403610
EU27,1924,266394758
EU27,1925,268422713
EU27,1926,270456441
EU27,1927,272494917
EU27,1928,274558130
EU27,1929,276568038
EU27,1930,278527900
EU27,1931,280439010
EU27,1932,282289701
EU27,1933,284077322
EU27,1934,285875320
EU27,1935,287681834
EU27,1936,289498040
EU27,1937,291327090
EU27,1938,293145160
EU27,1939,295062375
EU27,1940,296661292
EU27,1941,298030444
EU27,1942,299209355
EU27,1943,300296527
EU27,1944,301486478
EU27,1945,302196289
EU27,1946,302162045
EU27,1947,302549830
EU27,1948,303755208
EU27,1949,305172085
EU27,1950,307732307
EU27,1951,309555881
EU27,1952,311471232
EU27,1953,313636829
EU27,1954,315912231
EU27,1955,318161228
EU27,1956,320341805
EU27,1957,322521590
EU27,1958,324896965
EU27,1959,327403053
EU27,1960,329876729
EU27,1961,332440108
EU27,1962,335099239
EU27,1963,337750023
EU27,1964,340548145
EU27,1965,343323316
EU27,1966,345979753
EU27,1967,348592672
EU27,1968,351023186
EU27,1969,353235776
EU27,1970,355304849
EU27,1971,357503548
EU27,1972,359881729
EU27,1973,362140920
EU27,1974,364306387
EU27,1975,366300709
EU27,1976,368084408
EU27,1977,369786149
EU27,1978,371331179
EU27,1979,372747302
EU27,1980,374191855
EU27,1981,375499039
EU27,1982,376554400
EU27,1983,377456083
EU27,1984,378313407
EU27,1985,379211630
EU27,1986,380155659
EU27,1987,381211958
EU27,1988,382359160
EU27,1989,383542835
EU27,1990,384711909
EU27,1991,385888035
EU27,1992,387057351
EU27,1993,388119818
EU27,1994,389033598
EU27,1995,389772036
EU27,1996,390385572
EU27,1997,390970503
EU27,1998,391513238
EU27,1999,392035783
EU27,2000,392621875
EU27,2001,393275879
EU27,2002,394269341
EU27,2003,395642720
EU27,2004,397166653
EU27,2005,398674520
EU27,2006,400159210
EU27,2007,401940587
EU27,2008,403749042
EU27,2009,405121029
EU27,2010,406184232
EU27,2011,407125549
EU27,2012,407875041
EU27,2013,408371835
EU27,2014,408834117
EU27,2015,409341065
FSU,1850,70200448
FSU,1851,70843043
FSU,1852,71491520
FSU,1853,72145933
FSU,1854,72806334
FSU,1855,73472783
FSU,1856,74145329
FSU,1857,74824034
FSU,1858,75508946
FSU,1859,76200130
FSU,1860,76897641
FSU,1861,77601535
FSU,1862,78311873
FSU,1863,79028711
FSU,1864,79752113
FSU,1865,80482135
FSU,1866,81218837
FSU,1867,81962284
FSU,1868,82712535
FSU,1869,83469652
FSU,1870,84233701
FSU,1871,84948497
FSU,1872,85726082
FSU,1873,86510784
FSU,1874,87302668
FSU,1875,88101803
FSU,1876,88908250
FSU,1877,89722079
FSU,1878,90543355
FSU,1879,91372151
FSU,1880,92208530
FSU,1881,93052566
FSU,1882,93904325
FSU,1883,94763883
FSU,1884,95631308
FSU,1885,96506672
FSU,1886,97390049
FSU,1887,98281508
FSU,1888,99181131
FSU,1889,100088984
FSU,1890,101005149
FSU,1891,101929697
FSU,1892,102862709
FSU,1893,103804261
FSU,1894,104754430
FSU,1895,105713296
FSU,1896,106680939
FSU,1897,107657438
FSU,1898,108642874
FSU,1899,109637329
FSU,1900,110640888
FSU,1901,111653630
FSU,1902,112675644
FSU,1903,113707008
FSU,1904,114747816
FSU,1905,115798148
FSU,1906,116858095
FSU,1907,117927741
FSU,1908,119007181
FSU,1909,120096497
FSU,1910,121195786
FSU,1911,122276842
FSU,1912,123396084
FSU,1913,124525575
FSU,1914,125665402
FSU,1915,126815658
FSU,1916,127976445
FSU,1917,129147857
FSU,1918,130337395
FSU,1919,131537892
FSU,1920,132749446
FSU,1921,133972158
FSU,1922,135206134
FSU,1923,136451475
FSU,1924,137708288
FSU,1925,138976674
FSU,1926,140256747
FSU,1927,141548607
FSU,1928,142852366
FSU,1929,144168136
FSU,1930,145496024
FSU,1931,146836141
FSU,1932,148188607
FSU,1933,149553525
FSU,1934,150931017
FSU,1935,152321196
FSU,1936,153724181
FSU,1937,155140087
FSU,1938,156569036
FSU,1939,158011144
FSU,1940,159466539
FSU,1941,160935337
FSU,1942,162417664
FSU,1943,163913646
FSU,1944,165423404
FSU,1945,166947071
FSU,1946,168484769
FSU,1947,170036633
FSU,1948,171602790
FSU,1949,173335743
FSU,1950,175616272
FSU,1951,178355640
FSU,1952,181220461
FSU,1953,184210532
FSU,1954,187301997
FSU,1955,190506470
FSU,1956,193852758
FSU,1957,197281198
FSU,1958,200755655
FSU,1959,204233652
FSU,1960,207754135
FSU,1961,211339039
FSU,1962,214751728
FSU,1963,217934439
FSU,1964,220927521
FSU,1965,223687801
FSU,1966,226294840
FSU,1967,228819171
FSU,1968,231197174
FSU,1969,233455672
FSU,1970,235501673
FSU,1971,237516761
FSU,1972,239686034
FSU,1973,241827033
FSU,1974,244006578
FSU,1975,246289524
FSU,1976,248603876
FSU,1977,250933466
FSU,1978,253243858
FSU,1979,255443520
FSU,1980,257535800
FSU,1981,259622154
FSU,1982,261823393
FSU,1983,264252090
FSU,1984,266761214
FSU,1985,269227476
FSU,1986,271931323
FSU,1987,274835911
FSU,1988,277605482
FSU,1989,279954947
FSU,1990,281858831
FSU,1991,283457078
FSU,1992,284654209
FSU,1993,285297628
FSU,1994,285247747
FSU,1995,284831261
FSU,1996,284338914
FSU,1997,283732416
FSU,1998,283059436
FSU,1999,282399246
FSU,2000,281795836
FSU,2001,281166505
FSU,2002,280573384
FSU,2003,280108883
FSU,2004,279787983
FSU,2005,279551618
FSU,2006,279480198
FSU,2007,279746694
FSU,2008,280306040
FSU,2009,281107724
FSU,2010,281971175
FSU,2011,282912815
FSU,2012,284093854
FSU,2013,285398758
FSU,2014,286714048
FSU,2015,288132971
LAM,1850,32470409
LAM,1851,32543898
LAM,1852,32928972
LAM,1853,33281089
LAM,1854,33643657
LAM,1855,34016726
LAM,1856,34400379
LAM,1857,34794697
LAM,1858,35199765
LAM,1859,35592765
LAM,1860,36332737
LAM,1861,36339017
LAM,1862,36690507
LAM,1863,37026402
LAM,1864,37368776
LAM,1865,37717750
LAM,1866,38073454
LAM,1867,38436026
LAM,1868,38805597
LAM,1869,39211996
LAM,1870,40036614
LAM,1871,40140227
LAM,1872,40664556
LAM,1873,41230701
LAM,1874,41810294
LAM,1875,42403502
LAM,1876,43010505
LAM,1877,43631498
LAM,1878,44266671
LAM,1879,44931956
LAM,1880,46033759
LAM,1881,46354494
LAM,1882,47112717
LAM,1883,47903003
LAM,1884,48710201
LAM,1885,49534867
LAM,1886,50377598
LAM,1887,51239022
LAM,1888,52119801
LAM,1889,53013847
LAM,1890,54351923
LAM,1891,54843214
LAM,1892,55779154
LAM,1893,56729583
LAM,1894,57701483
LAM,1895,58695303
LAM,1896,59711509
LAM,1897,60750573
LAM,1898,61812984
LAM,1899,62898405
LAM,1900,64464323
LAM,1901,65139608
LAM,1902,66296131
LAM,1903,67477140
LAM,1904,68683894
LAM,1905,69917048
LAM,1906,71177270
LAM,1907,72465258
LAM,1908,73781717
LAM,1909,75084106
LAM,1910,76854544
LAM,1911,77645413
LAM,1912,78903638
LAM,1913,80146408
LAM,1914,81416530
LAM,1915,82714630
LAM,1916,84041355
LAM,1917,85397372
LAM,1918,86761303
LAM,1919,88202282
LAM,1920,90211131
LAM,1921,91320945
LAM,1922,93001489
LAM,1923,94764791
LAM,1924,96565181
LAM,1925,98403502
LAM,1926,100280625
LAM,1927,102197433
LAM,1928,104154832
LAM,1929,106128708
LAM,1930,108629416
LAM,1931,110123324
LAM,1932,112142692
LAM,1933,114175761
LAM,1934,116246793
LAM,1935,118356519
LAM,1936,120505675
LAM,1937,122695026
LAM,1938,124925345
LAM,1939,127364873
LAM,1940,130580258
LAM,1941,132907757
LAM,1942,136030045
LAM,1943,139399407
LAM,1944,142858701
LAM,1945,146410456
LAM,1946,150057240
LAM,1947,153801709
LAM,1948,157646596
LAM,1949,161685795
LAM,1950,166285135
LAM,1951,170538032
LAM,1952,175090026
LAM,1953,179776441
LAM,1954,184617023
LAM,1955,189631346
LAM,1956,194820705
LAM,1957,200194565
LAM,1958,205716999
LAM,1959,211438829
LAM,1960,217601331
LAM,1961,223525226
LAM,1962,229820385
LAM,1963,236262008
LAM,1964,242837105
LAM,1965,249523430
LAM,1966,256270499
LAM,1967,263065582
LAM,1968,269911470
LAM,1969,276809718
LAM,1970,284015653
LAM,1971,290804911
LAM,1972,297943929
LAM,1973,305203693
LAM,1974,312571510
LAM,1975,320023267
LAM,1976,327539226
LAM,1977,335229558
LAM,1978,343124463
LAM,1979,351099554
LAM,1980,359334229
LAM,1981,366900002
LAM,1982,374716140
LAM,1983,382671928
LAM,1984,390688070
LAM,1985,398692272
LAM,1986,406676905
LAM,1987,414661795
LAM,1988,422698403
LAM,1989,430757466
LAM,1990,439241176
LAM,1991,447184495
LAM,1992,455336858
LAM,1993,463460221
LAM,1994,471576277
LAM,1995,479647593
LAM,1996,487611103
LAM,1997,495507061
LAM,1998,503332542
LAM,1999,511044577
LAM,2000,518882366
LAM,2001,526280623
LAM,2002,533531649
LAM,2003,540582200
LAM,2004,547513846
LAM,2005,554369862
LAM,2006,561086869
LAM,2007,567687131
LAM,2008,574153393
LAM,2009,580554193
LAM,2010,587052929
LAM,2011,593714178
LAM,2012,600389127
LAM,2013,606938973
LAM,2014,613406853
LAM,2015,619813810
MEA,1850,35476443
MEA,1851,35686820
MEA,1852,35895176
MEA,1853,36101781
MEA,1854,36310109
MEA,1855,36520167
MEA,1856,36731975
MEA,1857,36945542
MEA,1858,37160890
MEA,1859,37383006
MEA,1860,37612830
MEA,1861,37848184
MEA,1862,38091501
MEA,1863,38342169
MEA,1864,38595343
MEA,1865,38851048
MEA,1866,39109324
MEA,1867,39370199
MEA,1868,39633720
MEA,1869,39890056
MEA,1870,40139810
MEA,1871,40378314
MEA,1872,40611840
MEA,1873,40837398
MEA,1874,41064706
MEA,1875,41293786
MEA,1876,41524652
MEA,1877,41757324
MEA,1878,41991818
MEA,1879,42234198
MEA,1880,42485416
MEA,1881,42743194
MEA,1882,43010100
MEA,1883,43285478
MEA,1884,43563419
MEA,1885,43843948
MEA,1886,44127096
MEA,1887,44412891
MEA,1888,44701361
MEA,1889,45015162
MEA,1890,45355675
MEA,1891,45721016
MEA,1892,46114247
MEA,1893,46535157
MEA,1894,46961659
MEA,1895,47393854
MEA,1896,47831837
MEA,1897,48275699
MEA,1898,48725539
MEA,1899,49200154
MEA,1900,49700683
MEA,1901,50224904
MEA,1902,50775647
MEA,1903,51352373
MEA,1904,51936796
MEA,1905,52529029
MEA,1906,53129614
MEA,1907,53738244
MEA,1908,54355037
MEA,1909,54878086
MEA,1910,55307386
MEA,1911,55642880
MEA,1912,55886428
MEA,1913,56034951
MEA,1914,56188539
MEA,1915,56347150
MEA,1916,56510757
MEA,1917,56682929
MEA,1918,56895231
MEA,1919,57235412
MEA,1920,57706718
MEA,1921,58301372
MEA,1922,59027064
MEA,1923,59883906
MEA,1924,60759310
MEA,1925,61652966
MEA,1926,62565365
MEA,1927,63497016
MEA,1928,64448447
MEA,1929,65397169
MEA,1930,66345688
MEA,1931,67284338
MEA,1932,68226224
MEA,1933,69167056
MEA,1934,70131086
MEA,1935,71108361
MEA,1936,72096156
MEA,1937,73090035
MEA,1938,74103043
MEA,1939,75167377
MEA,1940,76291653
MEA,1941,77450385
MEA,1942,78672239
MEA,1943,79954217
MEA,1944,81266956
MEA,1945,82610139
MEA,1946,83978915
MEA,1947,85373244
MEA,1948,86793138
MEA,1949,88360594
MEA,1950,91229035
MEA,1951,93390176
MEA,1952,95663277
MEA,1953,98047122
MEA,1954,100512795
MEA,1955,103060466
MEA,1956,105677070
MEA,1957,108316943
MEA,1958,110964417
MEA,1959,113737158
MEA,1960,116675182
MEA,1961,119709145
MEA,1962,122880670
MEA,1963,126202383
MEA,1964,129667733
MEA,1965,133258765
MEA,1966,136967347
MEA,1967,140816657
MEA,1968,144794422
MEA,1969,148903628
MEA,1970,153139838
MEA,1971,157505813
MEA,1972,162017049
MEA,1973,166706081
MEA,1974,171649910
MEA,1975,177031020
MEA,1976,183105385
MEA,1977,189312331
MEA,1978,195019206
MEA,1979,201012025
MEA,1980,207683634
MEA,1981,215163419
MEA,1982,222806369
MEA,1983,230082917
MEA,1984,237476974
MEA,1985,244840874
MEA,1986,252359054
MEA,1987,259907416
MEA,1988,267090916
MEA,1989,274322678
MEA,1990,281582629
MEA,1991,289097985
MEA,1992,296691128
MEA,1993,303391710
MEA,1994,310048515
MEA,1995,317031242
MEA,1996,323925195
MEA,1997,330953621
MEA,1998,338007518
MEA,1999,345171995
MEA,2000,352634767
MEA,2001,360189953
MEA,2002,367339192
MEA,2003,374518410
MEA,2004,382309622
MEA,2005,390775007
MEA,2006,400097675
MEA,2007,410025686
MEA,2008,420256700
MEA,2009,430518579
MEA,2010,440442529
MEA,2011,449683004
MEA,2012,458936468
MEA,2013,468824547
MEA,2014,478790778
MEA,2015,488754711
NAM,1850,26541609
NAM,1851,26894211
NAM,1852,27733688
NAM,1853,28594888
NAM,1854,29482821
NAM,1855,30398317
NAM,1856,31342231
NAM,1857,32315444
NAM,1858,33318867
NAM,1859,34297002
NAM,1860,35810504
NAM,1861,36169295
NAM,1862,37059171
NAM,1863,37915185
NAM,1864,38791492
NAM,1865,39688580
NAM,1866,40606946
NAM,1867,41547102
NAM,1868,42509572
NAM,1869,43490769
NAM,1870,45159930
NAM,1871,45510518
NAM,1872,46549664
NAM,1873,47608724
NAM,1874,48692146
NAM,1875,49800497
NAM,1876,50934354
NAM,1877,52094307
NAM,1878,53280961
NAM,1879,54492570
NAM,1880,56507154
NAM,1881,56993008
NAM,1882,58283050
NAM,1883,59600475
NAM,1884,60948285
NAM,1885,62327187
NAM,1886,63737907
NAM,1887,65181184
NAM,1888,66657778
NAM,1889,68116019
NAM,1890,70438847
NAM,1891,70971494
NAM,1892,72365615
NAM,1893,73735153
NAM,1894,75131001
NAM,1895,76553669
NAM,1896,78003675
NAM,1897,79481548
NAM,1898,80987829
NAM,1899,82551860
NAM,1900,85178777
NAM,1901,85859875
NAM,1902,87607320
NAM,1903,89419440
NAM,1904,91269298
NAM,1905,93157685
NAM,1906,95085411
NAM,1907,97053305
NAM,1908,99062210
NAM,1909,100999628
NAM,1910,104093150
NAM,1911,104646780
NAM,1912,106349656
NAM,1913,107967327
NAM,1914,109609752
NAM,1915,111277309
NAM,1916,112970388
NAM,1917,114689383
NAM,1918,116374916
NAM,1919,118090501
NAM,1920,121294283
NAM,1921,121613757
NAM,1922,123422409
NAM,1923,125263076
NAM,1924,127131269
NAM,1925,129027403
NAM,1926,130951895
NAM,1927,132905172
NAM,1928,134887664
NAM,1929,136688449
NAM,1930,139987776
NAM,1931,139727854
NAM,1932,140957761
NAM,1933,141988539
NAM,1934,143026999
NAM,1935,144073200
NAM,1936,145127201
NAM,1937,146189063
NAM,1938,147258845
NAM,1939,148543236
NAM,1940,151958125
NAM,1941,151774018
NAM,1942,153729689
NAM,1943,155918527
NAM,1944,158138741
NAM,1945,160390786
NAM,1946,162675120
NAM,1947,164992210
NAM,1948,167342531
NAM,1949,169856109
NAM,1950,164346972
NAM,1951,167028765
NAM,1952,169792276
NAM,1953,172734567
NAM,1954,175925595
NAM,1955,179280231
NAM,1956,182652744
NAM,1957,186032273
NAM,1958,189702718
NAM,1959,193300710
NAM,1960,196573229
NAM,1961,199879043
NAM,1962,203104404
NAM,1963,206230056
NAM,1964,209256712
NAM,1965,212088109
NAM,1966,214624288
NAM,1967,216969226
NAM,1968,219292988
NAM,1969,221747128
NAM,1970,224657879
NAM,1971,227741928
NAM,1972,230459293
NAM,1973,232868991
NAM,1974,235196047
NAM,1975,237569908
NAM,1976,239924946
NAM,1977,242419324
NAM,1978,245164264
NAM,1979,248056590
NAM,1980,251079181
NAM,1981,253946743
NAM,1982,256625725
NAM,1983,259315867
NAM,1984,261972374
NAM,1985,264629241
NAM,1986,267299534
NAM,1987,269990170
NAM,1988,272831412
NAM,1989,275955116
NAM,1990,279530042
NAM,1991,283402517
NAM,1992,287386733
NAM,1993,291347078
NAM,1994,295187459
NAM,1995,298914952
NAM,1996,302574387
NAM,1997,306304260
NAM,1998,310034680
NAM,1999,313664025
NAM,2000,317183688
NAM,2001,320581246
NAM,2002,323780002
NAM,2003,326831845
NAM,2004,329953541
NAM,2005,333141212
NAM,2006,336353836
NAM,2007,339658685
NAM,2008,342948385
NAM,2009,346122032
NAM,2010,349141329
NAM,2011,352168978
NAM,2012,355278425
NAM,2013,358331056
NAM,2014,361275537
NAM,2015,364114036
PAO,1850,32763765
PAO,1851,32886527
PAO,1852,33034933
PAO,1853,33209933
PAO,1854,33390192
PAO,1855,33576101
PAO,1856,33768085
PAO,1857,33966598
PAO,1858,34172134
PAO,1859,34372594
PAO,1860,34567171
PAO,1861,34754977
PAO,1862,34935049
PAO,1863,35106328
PAO,1864,35280279
PAO,1865,35457023
PAO,1866,35636694
PAO,1867,35819430
PAO,1868,36005381
PAO,1869,36211167
PAO,1870,36436835
PAO,1871,36682418
PAO,1872,36947932
PAO,1873,37233387
PAO,1874,37522323
PAO,1875,37814837
PAO,1876,38111032
PAO,1877,38411012
PAO,1878,38714891
PAO,1879,39038849
PAO,1880,39383243
PAO,1881,39748429
PAO,1882,40134766
PAO,1883,40542614
PAO,1884,40956289
PAO,1885,41375919
PAO,1886,41801642
PAO,1887,42233594
PAO,1888,42671920
PAO,1889,43114408
PAO,1890,43560787
PAO,1891,44010768
PAO,1892,44464046
PAO,1893,44920295
PAO,1894,45381529
PAO,1895,45847804
PAO,1896,46319182
PAO,1897,46795724
PAO,1898,47277492
PAO,1899,47781185
PAO,1900,48307212
PAO,1901,48855986
PAO,1902,49427925
PAO,1903,50023457
PAO,1904,50626392
PAO,1905,51236827
PAO,1906,51854860
PAO,1907,52480592
PAO,1908,53114122
PAO,1909,53761693
PAO,1910,54423561
PAO,1911,55099991
PAO,1912,55791254
PAO,1913,56497621
PAO,1914,57213241
PAO,1915,57938240
PAO,1916,58672749
PAO,1917,59416899
PAO,1918,60180828
PAO,1919,60976310
PAO,1920,61804030
PAO,1921,62664681
PAO,1922,63558972
PAO,1923,64487624
PAO,1924,65429988
PAO,1925,66386269
PAO,1926,67356673
PAO,1927,68341414
PAO,1928,69340705
PAO,1929,70323128
PAO,1930,71288040
PAO,1931,72234785
PAO,1932,73162689
PAO,1933,74071066
PAO,1934,74990850
PAO,1935,75922185
PAO,1936,76865215
PAO,1937,77820091
PAO,1938,78786961
PAO,1939,79794051
PAO,1940,80842238
PAO,1941,81932421
PAO,1942,83065511
PAO,1943,84242438
PAO,1944,85436075
PAO,1945,86646662
PAO,1946,87874438
PAO,1947,89119651
PAO,1948,90382544
PAO,1949,91638544
PAO,1950,94441836
PAO,1951,96055437
PAO,1952,97553504
PAO,1953,98925262
